Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
THEIOgIAJ5A,Meditación de la mañana | La mejor forma de Iniciar el día con energía y enfoque (Jorge Benito),Jorge Benito,UCu1C0mYQjWPFNmmMXJ40X7A,1010000,1412256,33077,1267,https://i.ytimg.com/vi/THEIOgIAJ5A/default.jpg
2kM6fZSzp5s,MEDITACIÓN para estar PRESENTE,Nana Mendoza,UCaeO3qe2rNIxYBRNucneVfg,9280,65563,1838,48,https://i.ytimg.com/vi/2kM6fZSzp5s/default.jpg
g7grO17SD6M,Meditación de la Mañana: LLÉNATE DE AMOR Todos los Días,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1785364,47022,2037,https://i.ytimg.com/vi/g7grO17SD6M/default.jpg
wH23VVRYyqQ,Meditación para SANAR el CUERPO y la MENTE mientras duermes | DESPERTAR CONSCIENTE | La Caverna,Medita TV,UCnxjrvCfxRrDi3d6P1N3P5g,183000,13883804,204215,5334,https://i.ytimg.com/vi/wH23VVRYyqQ/default.jpg
ohJOaQn3-vg,Ejercicio de mindfulness para niños con TDAH | 6 minutos de meditación guiada de relajación,guiainfantil,UCRJQw-oofyAgFv3JlnIAxZQ,2030000,561951,7569,0,https://i.ytimg.com/vi/ohJOaQn3-vg/default.jpg
y402v-5crqU,MINDFULNESS PARA NIÑOS 🌙 Ejercicio de meditación guiada para ayudar a tu hijo a relajarse y dormirse,guiainfantil,UCRJQw-oofyAgFv3JlnIAxZQ,2030000,360570,3203,0,https://i.ytimg.com/vi/y402v-5crqU/default.jpg
Jla9qcw-cmE,🎧Conviértete en TU MEJOR COMPAÑÍA practicando esta MEDITACIÓN GUIADA | Mindfulness| Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,146942,8784,905,https://i.ytimg.com/vi/Jla9qcw-cmE/default.jpg
YB-Z8YXhfnc,Relajación Guiada para Dormir: DESCANSO ABSOLUTO,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1841628,21174,381,https://i.ytimg.com/vi/YB-Z8YXhfnc/default.jpg
vyk-wlp0-H8,🎧Déjalo ir: meditación guiada para SOLTAR | Mindfulness [Audio 8D] Nayla Funes para Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,496432,17159,775,https://i.ytimg.com/vi/vyk-wlp0-H8/default.jpg
GPhyNcdiTYw,Meditación corta para Dormir... hazla todas las noches!!,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1018055,15671,269,https://i.ytimg.com/vi/GPhyNcdiTYw/default.jpg
7HmHxHS-ed8,🎧Meditación Guiada para que COMENCES TU DÍA tranquilo y enfocado | body scan /Mindfulness,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,129756,8220,576,https://i.ytimg.com/vi/7HmHxHS-ed8/default.jpg
sUqhiteBLrI,Meditación Mindfulness 20 Minutos Atención Plena a la Respiración,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,462941,11953,377,https://i.ytimg.com/vi/sUqhiteBLrI/default.jpg
FjrsNENYVtc,Meditación Para Dejar de Pensar (Ansiedad / TOC / Depresión) | 20 min,Carvo | Yoga & Pilates,UCY3nklwdVFQTMQbjjK_JrtA,138000,111263,2886,242,https://i.ytimg.com/vi/FjrsNENYVtc/default.jpg
QrfB1bWGJzk,Meditación Guiada para Conseguir Calma Mental y REDUCIR ANSIEDAD,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,977879,21955,590,https://i.ytimg.com/vi/QrfB1bWGJzk/default.jpg
fpKRza09fsA,MEDITACIÓN PARA DORMIR Y RELAJAR LA MENTE | TENER SUEÑO | CALMAR ANSIEDAD | RELAJACIÓN ❤ EASY ZEN,Easy Zen,UC2Z5BQhJWVgLX71_frN4oTA,1420000,933061,11889,272,https://i.ytimg.com/vi/fpKRza09fsA/default.jpg
lnyNvYG4040,Meditación guiada para la sensación de ahogo │ Sonido 360° 🧘‍♂️,Desansiedad,UCzyHoWhzN1FQn9SJRJ81arA,1180000,40194,1315,54,https://i.ytimg.com/vi/lnyNvYG4040/default.jpg
V1mWWjPexB8,La MEJOR Meditación Guiada para cultivar el AMOR PROPIO y LA GRATITUD POR TI ~Nayla Funes [AUDIO 8D],Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,172766,10215,947,https://i.ytimg.com/vi/V1mWWjPexB8/default.jpg
lS0kcSNlULw,A 10-Minute Meditation for Stress from Headspace | Mental Health Action Day,Headspace,UC3JhfsgFPLSLNEROQCdj-GQ,740000,1062643,10150,124,https://i.ytimg.com/vi/lS0kcSNlULw/default.jpg
j734gLbQFbU,5 Minute Guided Morning Meditation for Positive Energy ☀️,Lavendaire,UC-ga3onzHSJFAGsIebtVeBg,2420000,8388636,184153,3451,https://i.ytimg.com/vi/j734gLbQFbU/default.jpg
wsSLKExTW0E,😴 MINDFULNESS MEDITACIÓN GUIADA (5 Minutos) PARA DORMIR,Medita por el mundo,UCkImJVONIpthOWxmxhF_gyA,417000,203715,5300,137,https://i.ytimg.com/vi/wsSLKExTW0E/default.jpg
05qQvylgK14,"Meditación Raja Yoga de la mañana: Vive con felicidad, con Enrique Simó",Brahma Kumaris España,UCxM_ECDrYRjRkceWQKcrcMw,62100,25337,1077,167,https://i.ytimg.com/vi/05qQvylgK14/default.jpg
QgoGV2ivV3A,10 min de Meditación para la ANSIEDAD | Meditación guiada para reducir la ansiedad | Anabel Otero,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1060000,36151,1561,123,https://i.ytimg.com/vi/QgoGV2ivV3A/default.jpg
jB3Jjo0Gn8o,Meditación Ho'oponopono para Dormir: Sanar Durante el Sueño,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1153091,16167,284,https://i.ytimg.com/vi/jB3Jjo0Gn8o/default.jpg
ioGX5evOzlc,Meditación para Mujeres: Conecta con tu Feminidad,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,339441,10450,470,https://i.ytimg.com/vi/ioGX5evOzlc/default.jpg
FRpRxZD1sIo,MEDITACIÓN PARA BAJAR LA PRESION Y SOLTAR EL STRESS,Bombones para el alma,UCKC1qtLGOAUnuf5ZyoIBQFw,824000,514554,13341,469,https://i.ytimg.com/vi/FRpRxZD1sIo/default.jpg
r5QukKTEmZY,"Meditación Raja Yoga y charla: “Los secretos de la soledad”, con Enrique Simó",Brahma Kumaris España,UCxM_ECDrYRjRkceWQKcrcMw,62100,47248,1699,176,https://i.ytimg.com/vi/r5QukKTEmZY/default.jpg
-STiuYyi-kc,Un Curso de Milagros - Meditación de Perdón,Un Curso de Milagros x Martín Merayo,UCDQBY5ywV87MPk4Gcmo_5FQ,120000,147742,4834,559,https://i.ytimg.com/vi/-STiuYyi-kc/default.jpg
B6iScJ1ohVQ,Meditación Guiada 🧘🏼‍♀️💛,Sientete Bien,UCHnFD0Y7L-oCaKCEbJz-Seg,818000,99631,3667,470,https://i.ytimg.com/vi/B6iScJ1ohVQ/default.jpg
Qfs9INfd5hc,Meditación | ¿Te terminaron? Escucha este hermoso mensaje.,Un viaje a la vida,UC5GBaY1-ivWPl1tjLxWuDSg,4960000,1736916,66866,7951,https://i.ytimg.com/vi/Qfs9INfd5hc/default.jpg
th_t-jFDJpg,Meditación para conectar con nuestra esencia / Meditaciones,Catalina Hoffmann,UCVGCFovFe81saWzi64Dh_mQ,39200,4535,177,7,https://i.ytimg.com/vi/th_t-jFDJpg/default.jpg
U1c1pP50JFA,La meditación curó el cáncer terminal de su padre: la dura vivencia de Sharon Stone - El Hormiguero,Antena 3,UC84t25xqhPEPpGY7NBZJ_eA,8920000,2906,67,8,https://i.ytimg.com/vi/U1c1pP50JFA/default.jpg
jQ7I8AlkjPc,Pranayama y Meditación | Respiración,Xuan Lan Yoga,UCKQgiVPqEPU0tImAjFG5lNA,2020000,272865,9935,315,https://i.ytimg.com/vi/jQ7I8AlkjPc/default.jpg
JT_9I09j_Gk,Meditación para subir el nivel vibratorio - Guiada por Martha Sánchez Navarro,Martha Sánchez Navarro,UCh2XLZpRKOkQnNT0HqVJ7dg,23200,12785,769,60,https://i.ytimg.com/vi/JT_9I09j_Gk/default.jpg
jwYnkgxYOPU,Meditación para Dormir RITUAL DE ABUNDANCIA: Hazla todas las noches!!,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,326565,7961,339,https://i.ytimg.com/vi/jwYnkgxYOPU/default.jpg
-L0A-bU-Kio,Meditación guiada para un DÍA POSITIVO | Meditación 10 minutos Gabriela Litschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,394000,3406711,67915,1459,https://i.ytimg.com/vi/-L0A-bU-Kio/default.jpg
BRClqLuKKRk,"Meditación: Mateo 10 vr. 26 al 33, Hna. María Luisa Piraquive, 16 abril 2021, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,566229,0,0,https://i.ytimg.com/vi/BRClqLuKKRk/default.jpg
tytFxL7eBDQ,MEDITACIÓN GUIADA PARA DORMIR PROFUNDAMENTE | DUERME RÁPIDO CON ESTA RELAJACIÓN PARA EL INSOMNIO,Easy Zen,UC2Z5BQhJWVgLX71_frN4oTA,1420000,12083007,105302,2663,https://i.ytimg.com/vi/tytFxL7eBDQ/default.jpg
GIezddTcrUc,🎧Mejora tu AUTOESTIMA con esta MEDITACIÓN GUIADA | Mindfulness para todos | Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,122756,4899,230,https://i.ytimg.com/vi/GIezddTcrUc/default.jpg
ZSB6CSKFgPA,Meditación guiada.15min. Escucha tu corazón.,Patry Montero Yoga,UCkx1OhwCg2orVp0aY3L-sOQ,209000,525262,16561,515,https://i.ytimg.com/vi/ZSB6CSKFgPA/default.jpg
bl0G-1kFvXo,Meditación por la mañana | Comienza el día con una mente positiva y con energía | Anabel Otero,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1060000,110931,7573,525,https://i.ytimg.com/vi/bl0G-1kFvXo/default.jpg
FReFf1CLf-c,Meditación Guiada de 10 minutos | Calma la mente y consigue paz interior | Anabel Otero,Anabel Otero,UCJQoiWCKVc5EivU9h0p80oA,1060000,177456,6816,366,https://i.ytimg.com/vi/FReFf1CLf-c/default.jpg
nAR2PUPyH1I,Meditación para ALIVIAR la ANSIEDAD | Mindfulness 3 minutos de calma,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,394000,338717,6274,129,https://i.ytimg.com/vi/nAR2PUPyH1I/default.jpg
mR4J0gukZd8,Meditación Para Visualizar Objetivos Cumplidos: RETO LEY DE ATRACCIÓN  21 DÍAS,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,915820,22063,645,https://i.ytimg.com/vi/mR4J0gukZd8/default.jpg
